"Venue
",Year/volume,Title,DOI,Uses (workloads of) workflow traces in experiments?,WFs realistic (real world data)?,"# Different workflow applications (types, e.g. Montage, LIGO, etc.)",Data open source?,How many WFs do they use?,Size of the largest WF (amount of tasks),Size of the smallest WF,Notes,Domains,Fields,Citations
CCGrid,2014,"A Workflow-Inspired, Modular and Robust Approach to Experiments in Distributed Systems",10.1109/CCGrid.2014.33,n,,,,,,,,,,7
CCGrid,2014,Accelerating Comparative Genomics Workflows in a Distributed Environment with Optimized Data Partitioning,10.1109/CCGrid.2014.79,n,,,,,,,,,,5
CCGrid,2014,ToMaR -- A Data Generator for Large Volumes of Content,10.1109/CCGrid.2014.88,n,,,,,,,,,,2
CCGrid,2014,Modeling the Virtual Machine Launching Overhead under Fermicloud,10.1109/CCGrid.2014.87,n,,,,,,,,,,8
CCGrid,2014,PLAStiCC: Predictive Look-Ahead Scheduling for Continuous Dataflows on Clouds,10.1109/CCGrid.2014.60,y,y,1,n,1,?,?,The work in on dataflows rather than batch workloads. I still feel it qualifies,industry,Smart power grids,24
CCGrid,2014,A Scalable Real-Time Photometric System for Automatic Astronomical Observations on Dome A,10.1109/CCGrid.2014.36,n,,,,,,,,,,3
CCGrid,2014,From Scripted HPC-Based NGS Pipelines to Workflows on the Cloud,10.1109/CCGrid.2014.128,n,,,,,,,,,,11
CCGrid,2014,A Flexible Framework for Asynchronous in Situ and in Transit Analytics for Scientific Simulations,10.1109/CCGrid.2014.92,n,,,,,,,,,,46
CCGrid,2014,V for Vicissitude: The Challenge of Scaling Complex Big Data Workflows,10.1109/CCGrid.2014.97,n,,,,,,,,,,6
CCGrid,2014,A Survey on Workflow Management and Scheduling in Cloud Computing,10.1109/CCGrid.2014.83,n,,,,,,,,,,44
CCGrid,2014,Expanding Tasks of Logical Workflows Into Independent Workflows for Improved Scalability,10.1109/CCGrid.2014.84,n,,,,,,,,,,0
CCGrid,2014,Flexpath: Type-Based Publish/Subscribe System for Large-Scale Science Analytics,10.1109/CCGrid.2014.104,n,,,,,,,,,,49
CCGrid,2015,Scheduling Workloads of Workflows with Unknown Task Runtimes,10.1109/CCGrid.2015.27,y,n,3,n,12000,600,30,,scientific,"astronomy, physics, bioinformatics",10
CCGrid,2015,Scalable In-Memory Computing,10.1109/CCGrid.2015.106,n,,,,,,,,,,7
CCGrid,2015,Gerbil: Mpi+yarn,10.1109/CCGrid.2015.137,n,,,,,,,,,,11
CCGrid,2015,A Comparative Analysis of Scheduling Mechanisms for Virtual Screening Workflow in a Shared Resource Environment,10.1109/CCGrid.2015.123,y,n,1,n,1500,?,?,,scientific,uncategorized,3
CCGrid,2015,Towards a Realistic Scheduler for Mixed Workloads with Workflows,10.1109/CCGrid.2015.74,n,,,,,,,,,,3
CCGrid,2015,Confuga: Scalable Data Intensive Computing for POSIX Workflows,10.1109/CCGrid.2015.95,n,,,,,,,,,,4
CCGrid,2015,A Data Placement Strategy for Data-Intensive Scientific Workflows in Cloud,10.1109/CCGrid.2015.72,y,n,1,n,100,?,?,Does not mention # tasks or any size property,scientific,uncategorized,13
CCGrid,2015,FlexiMod: Flexible Coexistence Support for Programming Models,10.1109/CCGrid.2015.173,n,,,,,,,,,,0
CCGrid,2016,Optimizing Massively Parallel Simulations of Infection Spread Through Air-Travel for Policy Analysis,10.1109/CCGrid.2016.23,n,,,,,,,uses code WFs,,,3
CCGrid,2016,Managing Big Data Analytics Workflows with a Database System,10.1109/CCGrid.2016.63,n,,,,,,,,,,2
CCGrid,2016,Multiobjective Workflow Scheduling in a Federation of Heterogeneous Green-Powered Data Centers,10.1109/CCGrid.2016.34,n,,,,,,,,,,6
CCGrid,2016,EDISON: A Web-Based HPC Simulation Execution Framework for Large-Scale Scientific Computing Software,10.1109/CCGrid.2016.31,n,,,,,,,,,,18
CCGrid,2016,The Latin American Giant Observatory: A Successful Collaboration in Latin America Based on Cosmic Rays and Computer Science Domains,10.1109/CCGrid.2016.110,n,,,,,,,,,,3
CCGrid,2016,Low Latency and Resource-Aware Program Composition for Large-Scale Data Analysis,10.1109/CCGrid.2016.88,n,,,,,,,,,,4
CCGrid,2016,Flexible Data-Aware Scheduling for Workflows over an In-memory Object Store,10.1109/CCGrid.2016.40,n,,,,,,,,,,8
CCGrid,2016,Tigres Workflow Library: Supporting Scientific Pipelines on HPC Systems,10.1109/CCGrid.2016.54,n,,,,,,,uses code WFs,,,11
CCGrid,2017,Massive Data Load on Distributed Database Systems over HBase,10.1109/CCGRID.2017.124,n,n,1,n,3,?,?,CSV files generated,,,7
CCGrid,2017,A Level-Wise Load Balanced Scientific Workflow Execution Optimization Using NSGA-II,,n,,,,,,,uses code WFs,,,3
CCGrid,2017,Parallel Variable Selection for Effective Performance Prediction,10.1109/CCGRID.2017.47,y,y,1,n,2,?,?,"search for 'data', 3 months and 1 month log lengths",scientific,astronomy,1
CCGrid,2017,Deploying High Throughput Scientific Workflows on Container Schedulers with Makeflow and Mesos,,n,,,,,,,uses code WFs,,,7
CCGrid,2017,On the Use of In-memory Analytics Workflows to Compute eScience Indicators from Large Climate Datasets,,n,,,,,,,uses real data sets with code,,,0
CCGrid,2017,PRIVAaaS: Privacy Approach for a Distributed Cloud-Based Data Analytics Platforms,,n,,,,,,,,,,3
CCGrid,2017,Lemonade: A Scalable and Efficient Spark-Based Platform for Data Analytics,,n,,,,,,,Runs code on real data sets,,,3
CCGrid,2017,Enabling Distributed Software-Defined Environments Using Dynamic Infrastructure Service Composition,,n,,,,,,,Runs code in clouds,,,6
CLOUD,2016,Uncertainty-Aware Real-Time Workflow Scheduling in the Cloud,10.1109/CLOUD.2016.0082,y,y,4,n,4,100,30,,scientific,"astronomy, bioinformatics, geology, physics",13
CLOUD,2016,D3W: Towards Self-Management of Distributed Data-Driven Workflows with QoS Guarantees,10.1109/CLOUD.2016.0029,n,,,,,,,runs code,,,2
CLOUD,2016,Dynamic Deployment and Auto-scaling Enterprise Applications on the Heterogeneous Cloud,10.1109/CLOUD.2016.0138,y,n,1,n,1,?,?,"They run a HTTP stress tool, which is a generated form of workload and could be shared.",industry,web,7
CLOUD,2016,Resource Management for Elastic Publish Subscribe Systems: A Performance Modeling-Based Approach,10.1109/CLOUD.2016.0080,n,,,,,,,Run some programs,,,9
CLOUD,2016,End-to-End Security Formalization and Alignment for Federated Workflow Management,10.1109/CLOUD.2016.0018,n,,,,,,,,,,0
CLOUD,2017,A Robust Scheduler for Workflow Ensembles under Uncertainties of Available Bandwidth,10.1109/CLOUD.2017.70,y,n,3,n,100,50,50,,scientific,"physics, astronomy, bioinformatics",1
CLOUD,2017,Provenance in Context of Hadoop as a Service (HaaS) - State of the Art and Research Directions,10.1109/CLOUD.2017.91,n,,,,,,,,,,0
CLOUD,2017,Hierarchical Spark: A Multi-Cluster Big Data Computing Framework,10.1109/CLOUD.2017.20,n,,,,,,,,,,4
CLOUD,2017,Using Integer Programming for Workflow Scheduling in the Cloud,10.1109/CLOUD.2017.26,y,n,4,n,,,,,scientific,"bioinformatics, astronomy, physics, bioinformatics",2
CLUSTER,2013,Building an open Genome Wide Association Study (GWAS) platform,10.1109/CLUSTER.2013.6702696,n,,,,,,,,,,0
CLUSTER,2013,FlexQuery: An online query system for interactive remote visual data exploration at large scale,10.1109/CLUSTER.2013.6702635,n,,,,,,,,,,18
CLUSTER,2013,"BioExtract Server, a Web-based workflow enabling system, leveraging iPlant collaborative resources",10.1109/CLUSTER.2013.6702692,n,,,,,,,,,,3
CLUSTER,2013,Model-driven multisite workflow scheduling,10.1109/CLUSTER.2013.6702647,n,,,,,,,,,,1
CLUSTER,2013,User-friendly metaworkflows in quantum chemistry,10.1109/CLUSTER.2013.6702700,n,,,,,,,,,,5
CLUSTER,2013,Enabling multi-task computation on Galaxy-based gateways using swift,10.1109/CLUSTER.2013.6702701,n,,,,,,,,,,15
CLUSTER,2014,Applying frequency analysis techniques to dag-based workflows to benchmark and predict resource behavior on non-dedicated clusters,10.1109/CLUSTER.2014.6968734,n,,,,,,,,,,3
CLUSTER,2014,POSTER: Leveraging deep memory hierarchies for data staging in coupled data-intensive simulation workflows,10.1109/CLUSTER.2014.6968744,y,y,2,n,2,?,?,No notes on the size,scientific,"physics, physics",11
CLUSTER,2014,Evaluating Grasp-based cloud dimensioning for comparative genomics: A practical approach,10.1109/CLUSTER.2014.6968789,n,,,,,,,,,,7
CLUSTER,2014,Disk cache-aware task scheduling for data-intensive and many-task workflow,10.1109/CLUSTER.2014.6968774,n,,,,,,,,,,8
CLUSTER,2016,A Software-Defined Storage for Workflow Applications,10.1109/CLUSTER.2016.56,n,,,,,,,,,,2
CLUSTER,2016,FlashStager: Improving the Performance of SSD-Based Data Staging Systems via Write Redirection,10.1109/CLUSTER.2016.46,n,,,,,,,,,,2
CLUSTER,2016,Bredala: Semantic Data Redistribution for In Situ Applications,10.1109/CLUSTER.2016.30,n,,,,,,,,,,9
CLUSTER,2016,SuperGlue: Standardizing Glue Components for HPC Workflows,10.1109/CLUSTER.2016.90,n,,,,,,,,,,1
CLUSTER,2017,Parallel and Efficient Sensitivity Analysis of Microscopy Image Segmentation Workflows in Hybrid Systems,10.1109/CLUSTER.2017.28,n,,,,,,,,,,6
CLUSTER,2017,Effective Running of End-to-End HPC Workflows on Emerging Heterogeneous Architectures,10.1109/CLUSTER.2017.22,n,,,,,,,,,,2
CLUSTER,2017,Checkpointing Workflows for Fail-Stop Errors,10.1109/CLUSTER.2017.14,y,n,3,n,9,1000,50,,scientific,"astronomy, physics, bioinformatics",3
CLUSTER,2017,Automatic Data Filtering for In Situ Workflows,10.1109/CLUSTER.2017.35,y,n,1,n,3,?,?,NO notes on the size,scientific,physics,2
CLUSTER,2017,Manala: A Flexible Flow Control Library for Asynchronous Task Communication,10.1109/CLUSTER.2017.31,n,,,,,,,,,,3
CLUSTER,2017,Introducing Weirs: An Abstraction for Next Generation Streaming Workflows,10.1109/CLUSTER.2017.107,n,,,,,,,,,,1
FGCS,2009,Special section on workflow systems and applications in e-Science,10.1016/j.future.2008.10.011,n,,,,,,,,,,21
FGCS,2009,Structured collaborative workflow design,10.1016/j.future.2008.12.005,n,,,,,,,,,,55
FGCS,2009,The design and realisation of the myExperiment Virtual Research Environment for social sharing of workflows,10.1016/j.future.2008.06.010,n,,,,,,,,,,517
FGCS,2009,Cooperative negotiation and scheduling of scientific workflows in the collaborative climate community data and processing grid,10.1016/j.future.2008.05.002,n,,,,,,,,,,16
FGCS,2009,Workflows and e-Science: An overview of workflow system features and capabilities,10.1016/j.future.2008.06.012,n,,,,,,,,,,940
FGCS,2009,Efficiently discovering critical workflows in scientific explorations,10.1016/j.future.2008.06.005,n,,,,,,,authors create synthetic data to improve trace retrieval,,,12
FGCS,2009,Heterogeneous composition of models of computation,10.1016/j.future.2008.06.014,n,,,,,,,,,,78
FGCS,2009,Atomicity and provenance support for pipelined scientific workflows,10.1016/j.future.2008.06.007,n,,,,,,,,,,27
FGCS,2009,Earth system modelling with Windows Workflow Foundation,10.1016/j.future.2008.06.011,n,,,,,,,,,,10
FGCS,2009,Webservices oriented data mining in knowledge architecture,10.1016/j.future.2008.09.011,n,,,,,,,,,,25
FGCS,2009,Workflow-based resource allocation to optimize overall performance of composite services,10.1016/j.future.2008.06.003,n,,,,,,,the authors trace their own synthetic workflow executions for prediction,,,43
FGCS,2009,Content-based organisation of virtual repositories of DICOM objects,10.1016/j.future.2008.12.004,n,,,,,,,,,,29
FGCS,2009,AUGUSTUS at MediGRID: Adaption of a bioinformatics application to grid computing for efficient genome analysis,10.1016/j.future.2008.05.010,n,,,,,,,,,,14
FGCS,2009,A workflow model for heterogeneous computing environments,10.1016/j.future.2008.09.010,n,,,,,,,generated using a pseudo-random DAG generation algorithm,,,10
FGCS,2009,Towards a general model of the multi-criteria workflow scheduling on the grid,10.1016/j.future.2008.09.002,n,,,,,,,,,,162
FGCS,2009,Scientific workflow design for mere mortals,10.1016/j.future.2008.06.013,n,,,,,,,,,,197
FGCS,2009,DIPAS: A distributed performance analysis service for grid service-based workflows,10.1016/j.future.2008.10.005,n,,,,,,,describes a distributed performance analysis service that supports tracing execution,,,15
FGCS,2010,"Three fundamental dimensions of scientific workflow interoperability: Model of computation, language, and execution environment",10.1016/j.future.2009.08.011,n,,,,,,,,,,81
FGCS,2010,A data placement strategy in scientific cloud workflows,10.1016/j.future.2010.02.004,n,,,,,,,generate test workflows randomly to run on SwinDeW-C,,,294
FGCS,2010,Cooperative and decentralized workflow scheduling in global grids,10.1016/j.future.2009.07.002,n,,,,,,,workflow generator that creates various formats of weighted pseudo-application workflows,,,54
FGCS,2010,A grid portal for solving geoscience problems using distributed knowledge discovery services,10.1016/j.future.2009.08.002,n,,,,,,,,,,24
FGCS,2010,Simplified implementation of medical image processing algorithms into a grid using a workflow management system,10.1016/j.future.2009.07.004,n,,,,,,,,,,21
FGCS,2010,The wandering token: Congestion avoidance of a shared resource,10.1016/j.future.2009.05.002,n,,,,,,,,,,13
FGCS,2011,Optimizing the makespan and reliability for workflow applications with reputation and a look-ahead genetic algorithm,10.1016/j.future.2011.03.008,n,,,,,,,a random DAG generator to simulate workflow applications,,,131
FGCS,2011,Managing application whitelists in trusted distributed systems,10.1016/j.future.2010.08.014,n,,,,,,,,,,9
FGCS,2011,P-GRADE Portal: A generic workflow system to support user communities,10.1016/j.future.2010.12.001,n,,,,,,,,,,67
FGCS,2011,Mapping attribution metadata to the Open Provenance Model,10.1016/j.future.2010.10.007,n,,,,,,,,,,11
FGCS,2011,Extending the SOA paradigm to e-Science environments,10.1016/j.future.2010.07.003,n,,,,,,,,,,47
FGCS,2011,Analysis of approaches for supporting the Open Provenance Model: A case study of the Trident workflow workbench,10.1016/j.future.2010.10.005,n,,,,,,,,,,13
FGCS,2011,CineGrid Exchange: A workflow-based peta-scale distributed storage platform on a high-speed network,10.1016/j.future.2010.11.017,n,,,,,,,,,,7
FGCS,2011,Provenance management in Swift,10.1016/j.future.2010.05.003,n,,,,,,,,,,36
FGCS,2011,Linked provenance data: A semantic Web-based approach to interoperable workflow traces,10.1016/j.future.2010.10.011,n,,,,,,,,,,32
FGCS,2011,"Storing, reasoning, and querying OPM-compliant scientific workflow provenance using relational databases",10.1016/j.future.2010.10.013,n,,,,,,,,,,34
FGCS,2011,Decentralized execution of linear workflows over web services,10.1016/j.future.2010.07.009,n,,,,,,,,,,11
FGCS,2011,Online scheduling of workflow applications in grid environments,10.1016/j.future.2010.10.015,n,,,,,,,implemented a DAG_Generator module responsible for generating input workload,,,77
FGCS,2011,Web services workflow with result data forwarding as resources,10.1016/j.future.2010.12.015,n,,,,,,,create a workflow of web services,,,10
FGCS,2011,"Workflows to open provenance graphs, round-trip",10.1016/j.future.2010.10.012,n,,,,,,,,,,19
FGCS,2011,Cost optimized provisioning of elastic resources for application workflows,10.1016/j.future.2011.05.001,y,y,7,y,7,10000,200,"Montage, CyberShake, Epigenomics, LIGO, SIPHT+2 synthetic","Scientific, Scientific, Scientific, Scientific, Scientific, uncategorized, uncategorized","physics, astronomy, geology, bioinformatics, bioinformatics, uncategorized, uncategorized",225
FGCS,2012,Modeling and analyzing the impact of authorization on workflow executions,10.1016/j.future.2012.03.003,n,n,,,,,,random generated workflows,,,20
FGCS,2012,Protecting the consistency of workflow applications in collaborative development environments,10.1016/j.future.2011.09.003,n,,,,,,,,,,4
FGCS,2012,Workflow management for soft real-time interactive applications in virtualized environments,10.1016/j.future.2011.05.017,n,,,,,,,,,,42
FGCS,2012,A deductive system for proving workflow models from operational procedures,10.1016/j.future.2012.01.001,n,,,,,,,,,,6
FGCS,2012,Visual understanding industrial workflows under uncertainty on distributed service oriented architectures,10.1016/j.future.2011.02.008,n,,,,,,,"the authors use ""workflow"" in a different context",,,10
FGCS,2013,Performance evaluation of parallel strategies in public clouds: A study with phylogenomic workflows,10.1016/j.future.2012.12.019,n,,,,,,,run SciPhylomics workflow in Amazon Cloud,,,34
FGCS,2013,Adaptive resource configuration for Cloud infrastructure management,10.1016/j.future.2012.07.004,n,,,,,,,,,,104
FGCS,2013,Self-healing of workflow activity incidents on distributed computing infrastructures,10.1016/j.future.2013.06.012,y,y,36,y,1082,123025,?,,"Scientific, Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific, Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific, Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific, Scientific,Scientific,Scientific,Scientific,Scientific,Scientific",virtual imaging,26
FGCS,2013,Decentralized orchestration of data-centric workflows in Cloud environments,10.1016/j.future.2013.01.008,n,,,,,,,,,,18
FGCS,2013,Characterizing workflow-based activity on a production e-infrastructure using provenance data,10.1016/j.future.2013.04.019,y,y,70,,1848,,,mostly DNA sequencing and computational neuro-science applications,"Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific","uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, ",10
FGCS,2013,Automatic software deployment using user-level virtualization for cloud-computing,10.1016/j.future.2011.08.012,n,,,,,,,,,,31
FGCS,2013,Cloud MapReduce for Monte Carlo bootstrap applied to Metabolic Flux Analysis,10.1016/j.future.2011.10.007,n,,,,,,,,,,15
FGCS,2013,Optimizing execution time predictions of scientific workflow applications in the Grid through evolutionary programming,10.1016/j.future.2012.10.005,y,y,3,n,?,,,,"Scientific, Scientific, Scientific","Physics, Meteorology, Hydrology",17
FGCS,2013,Deadline-constrained workflow scheduling algorithms for Infrastructure as a Service Clouds,10.1016/j.future.2012.05.004,y,y,5,y,120,1000,30,,"Scientific, Scientific, Scientific, Scientific, Scientific","physics, astronomy, geology, bioinformatics, bioinformatics",412
FGCS,2013,"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models",10.1016/j.future.2013.05.003,n,,,,,,,,,,79
FGCS,2013,Designing a parallel cloud based comparative genomics workflow to improve phylogenetic analyses,10.1016/j.future.2013.04.005,n,y,1,n,,1200,,run SciHmm scientific workflow in Cloud,Scientific,bioinformatics,17
FGCS,2013,Scheduling parameter sweep workflow in the Grid based on resource competition,10.1016/j.future.2013.01.005,n,n,3,n,,6,6,use simulations,"Syntethic, Syntethic, Syntethic","uncategorized, uncategorized, uncategorized",14
FGCS,2013,Characterizing and profiling scientific workflows,10.1016/j.future.2012.08.015,n,y,6,n,18,815823,31,run wfs in Grid,scientific,"physics, astronomy, geology, bioinformatics",377
FGCS,2014,Developing security-aware resource management strategies for workflows,10.1016/j.future.2013.09.030,y,n,1,n,1,?,?,No notes on the sizes or domains,industry,"business, commerce",7
FGCS,2014,Multi-objective energy-efficient workflow scheduling using list-based heuristics,10.1016/j.future.2013.07.005,y,y,1,y,11,200,20,,multimedia,3d rendering,62
FGCS,2014,Special issue: Energy-efficiency in large distributed computing architectures,10.1016/j.future.2014.03.006,n,,,,,,,,,,1
FGCS,2014,Enabling scientific workflow sharing through coarse-grained interoperability,10.1016/j.future.2014.02.016,n,,,,,,,,,,51
FGCS,2014,Multi-objective scheduling of many tasks in cloud platforms,10.1016/j.future.2013.09.006,y,n,1,n,1,?,?,,scientific,physics,106
FGCS,2014,Informal learning recognition through a cloud ecosystem,10.1016/j.future.2013.08.004,n,,,,,,,,,,171
FGCS,2015,Taxonomies of workflow scheduling problem and techniques in the cloud,10.1016/j.future.2015.04.019,n,,,,,,,,,,59
FGCS,2015,"Pegasus, a workflow management system for science automation",10.1016/j.future.2014.10.008,n,,,,,,,"does mention the existance, but not use them per se in this work",,,342
FGCS,2015,Resource-aware hybrid scheduling algorithm in heterogeneous distributed computing,10.1016/j.future.2014.11.019,y,n,1,n,9,1000,10,,multimedia,"audio, video, documents, charts, contracts, plans",119
FGCS,2015,Data-centric iteration in dynamic workflows,10.1016/j.future.2014.10.021,n,,,,,,,,,,18
FGCS,2015,Dynamic steering of HPC scientific workflows: A survey,10.1016/j.future.2014.11.017,n,,,,,,,,,,43
FGCS,2015,A resource-aware framework for resource-constrained service-oriented systems,10.1016/j.future.2014.09.010,n,,,,,,,,,,8
FGCS,2015,Enabling scalable scientific workflow management in the Cloud,10.1016/j.future.2014.10.023,n,,,,,,,,,,43
FGCS,2015,SLA enactment for large-scale healthcare workflows on multi-Cloud,10.1016/j.future.2014.07.005,y,y,1,n,260,997,997,,scientific,bioinformatics,20
FGCS,2015,Cloud-aware data intensive workflow scheduling on volunteer computing systems,10.1016/j.future.2014.11.007,y,n,1,n,14000,30,30,Bharathi generator,scientific,"astronomy, geology, bioinformatics, physics",29
