"Venue
",Year/volume,Title,DOI,Uses (workloads of) workflow traces in experiments?,WFs realistic (real world)?,"# Different workflow applications (types, e.g. Montage, LIGO, etc.)",Data open source?,How many WFs do they use?,Size of the largest WF (amount of tasks),Size of the smallest WF,Notes,Domains,Fields
CLUSTER,2017,Effective Running of End-to-End HPC Workflows on Emerging Heterogeneous Architectures,10.1109/CLUSTER.2017.22,n,,,,,,,,,
CLUSTER,2017,Checkpointing Workflows for Fail-Stop Errors,10.1109/CLUSTER.2017.14,y,n,3,n,9,1000,50,,scientific,"astronomy, physics, bioinformatics"
CLUSTER,2017,Automatic Data Filtering for In Situ Workflows,10.1109/CLUSTER.2017.35,y,n,1,n,3,?,?,NO notes on the size,scientific,physics
CLUSTER,2017,Manala: A Flexible Flow Control Library for Asynchronous Task Communication,10.1109/CLUSTER.2017.31,n,,,,,,,,,
CLUSTER,2017,Introducing Weirs: An Abstraction for Next Generation Streaming Workflows,10.1109/CLUSTER.2017.107,n,,,,,,,,,
FGCS,2009,Special section on workflow systems and applications in e-Science,10.1016/j.future.2008.10.011,n,,,,,,,,,
FGCS,2009,Structured collaborative workflow design,10.1016/j.future.2008.12.005,n,,,,,,,,,
FGCS,2009,The design and realisation of the myExperiment Virtual Research Environment for social sharing of workflows,10.1016/j.future.2008.06.010,n,,,,,,,,,
FGCS,2009,Cooperative negotiation and scheduling of scientific workflows in the collaborative climate community data and processing grid,10.1016/j.future.2008.05.002,n,,,,,,,,,
FGCS,2009,Workflows and e-Science: An overview of workflow system features and capabilities,10.1016/j.future.2008.06.012,n,,,,,,,,,
FGCS,2009,Efficiently discovering critical workflows in scientific explorations,10.1016/j.future.2008.06.005,n,,,,,,,authors create synthetic data to improve trace retrieval,,
FGCS,2009,Heterogeneous composition of models of computation,10.1016/j.future.2008.06.014,n,,,,,,,,,
FGCS,2009,Atomicity and provenance support for pipelined scientific workflows,10.1016/j.future.2008.06.007,n,,,,,,,,,
FGCS,2009,Earth system modelling with Windows Workflow Foundation,10.1016/j.future.2008.06.011,n,,,,,,,,,
FGCS,2009,Webservices oriented data mining in knowledge architecture,10.1016/j.future.2008.09.011,n,,,,,,,,,
FGCS,2009,Workflow-based resource allocation to optimize overall performance of composite services,10.1016/j.future.2008.06.003,n,,,,,,,the authors trace their own synthetic workflow executions for prediction,,
FGCS,2009,Content-based organisation of virtual repositories of DICOM objects,10.1016/j.future.2008.12.004,n,,,,,,,,,
FGCS,2009,AUGUSTUS at MediGRID: Adaption of a bioinformatics application to grid computing for efficient genome analysis,10.1016/j.future.2008.05.010,n,,,,,,,,,
FGCS,2009,A workflow model for heterogeneous computing environments,10.1016/j.future.2008.09.010,n,,,,,,,generated using a pseudo-random DAG generation algorithm,,
FGCS,2009,Towards a general model of the multi-criteria workflow scheduling on the grid,10.1016/j.future.2008.09.002,n,,,,,,,,,
FGCS,2009,Scientific workflow design for mere mortals,10.1016/j.future.2008.06.013,n,,,,,,,,,
FGCS,2009,DIPAS: A distributed performance analysis service for grid service-based workflows,10.1016/j.future.2008.10.005,n,,,,,,,describes a distributed performance analysis service that supports tracing execution,,
FGCS,2010,"Three fundamental dimensions of scientific workflow interoperability: Model of computation, language, and execution environment",10.1016/j.future.2009.08.011,n,,,,,,,,,
FGCS,2010,A data placement strategy in scientific cloud workflows,10.1016/j.future.2010.02.004,n,,,,,,,generate test workflows randomly to run on SwinDeW-C,,
FGCS,2010,Cooperative and decentralized workflow scheduling in global grids,10.1016/j.future.2009.07.002,n,,,,,,,workflow generator that creates various formats of weighted pseudo-application workflows,,
FGCS,2010,A grid portal for solving geoscience problems using distributed knowledge discovery services,10.1016/j.future.2009.08.002,n,,,,,,,,,
FGCS,2010,Simplified implementation of medical image processing algorithms into a grid using a workflow management system,10.1016/j.future.2009.07.004,n,,,,,,,,,
FGCS,2010,The wandering token: Congestion avoidance of a shared resource,10.1016/j.future.2009.05.002,n,,,,,,,,,
FGCS,2011,Optimizing the makespan and reliability for workflow applications with reputation and a look-ahead genetic algorithm,10.1016/j.future.2011.03.008,n,,,,,,,a random DAG generator to simulate workflow applications,,
FGCS,2011,Managing application whitelists in trusted distributed systems,10.1016/j.future.2010.08.014,n,,,,,,,,,
FGCS,2011,P-GRADE Portal: A generic workflow system to support user communities,10.1016/j.future.2010.12.001,n,,,,,,,,,
FGCS,2011,Mapping attribution metadata to the Open Provenance Model,10.1016/j.future.2010.10.007,n,,,,,,,,,
FGCS,2011,Extending the SOA paradigm to e-Science environments,10.1016/j.future.2010.07.003,n,,,,,,,,,
FGCS,2011,Analysis of approaches for supporting the Open Provenance Model: A case study of the Trident workflow workbench,10.1016/j.future.2010.10.005,n,,,,,,,,,
FGCS,2011,CineGrid Exchange: A workflow-based peta-scale distributed storage platform on a high-speed network,10.1016/j.future.2010.11.017,n,,,,,,,,,
FGCS,2011,Provenance management in Swift,10.1016/j.future.2010.05.003,n,,,,,,,,,
FGCS,2011,Linked provenance data: A semantic Web-based approach to interoperable workflow traces,10.1016/j.future.2010.10.011,n,,,,,,,,,
FGCS,2011,"Storing, reasoning, and querying OPM-compliant scientific workflow provenance using relational databases",10.1016/j.future.2010.10.013,n,,,,,,,,,
FGCS,2011,Decentralized execution of linear workflows over web services,10.1016/j.future.2010.07.009,n,,,,,,,,,
FGCS,2011,Online scheduling of workflow applications in grid environments,10.1016/j.future.2010.10.015,n,,,,,,,implemented a DAG_Generator module responsible for generating input workload,,
FGCS,2011,Web services workflow with result data forwarding as resources,10.1016/j.future.2010.12.015,n,,,,,,,create a workflow of web services,,
FGCS,2011,"Workflows to open provenance graphs, round-trip",10.1016/j.future.2010.10.012,n,,,,,,,,,
FGCS,2011,Cost optimized provisioning of elastic resources for application workflows,10.1016/j.future.2011.05.001,y,y,7,y,7,10000,200,"Montage, CyberShake, Epigenomics, LIGO, SIPHT+2 synthetic","Scientific, Scientific, Scientific, Scientific, Scientific, uncategorized, uncategorized","physics, astronomy, geology, bioinformatics, bioinformatics, uncategorized, uncategorized"
FGCS,2012,Modeling and analyzing the impact of authorization on workflow executions,10.1016/j.future.2012.03.003,n,n,,,,,,random generated workflows,,
FGCS,2012,Protecting the consistency of workflow applications in collaborative development environments,10.1016/j.future.2011.09.003,n,,,,,,,,,
FGCS,2012,Workflow management for soft real-time interactive applications in virtualized environments,10.1016/j.future.2011.05.017,n,,,,,,,,,
FGCS,2012,A deductive system for proving workflow models from operational procedures,10.1016/j.future.2012.01.001,n,,,,,,,,,
FGCS,2012,Visual understanding industrial workflows under uncertainty on distributed service oriented architectures,10.1016/j.future.2011.02.008,n,,,,,,,"the authors use ""workflow"" in a different context",,
FGCS,2013,Performance evaluation of parallel strategies in public clouds: A study with phylogenomic workflows,10.1016/j.future.2012.12.019,n,,,,,,,run SciPhylomics workflow in Amazon Cloud,,
FGCS,2013,Adaptive resource configuration for Cloud infrastructure management,10.1016/j.future.2012.07.004,n,,,,,,,,,
FGCS,2013,Self-healing of workflow activity incidents on distributed computing infrastructures,10.1016/j.future.2013.06.012,y,y,36,y,1082,123025,?,,"Scientific, Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific, Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific, Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific,Scientific, Scientific,Scientific,Scientific,Scientific,Scientific,Scientific",virtual imaging
FGCS,2013,Decentralized orchestration of data-centric workflows in Cloud environments,10.1016/j.future.2013.01.008,n,,,,,,,,,
FGCS,2013,Characterizing workflow-based activity on a production e-infrastructure using provenance data,10.1016/j.future.2013.04.019,y,y,70,,1848,,,mostly DNA sequencing and computational neuro-science applications,"Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific,Scientific, Scientific, Scientific, Scientific, Scientific","uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, uncategorized, "
FGCS,2013,Automatic software deployment using user-level virtualization for cloud-computing,10.1016/j.future.2011.08.012,n,,,,,,,,,
FGCS,2013,Cloud MapReduce for Monte Carlo bootstrap applied to Metabolic Flux Analysis,10.1016/j.future.2011.10.007,n,,,,,,,,,
FGCS,2013,Optimizing execution time predictions of scientific workflow applications in the Grid through evolutionary programming,10.1016/j.future.2012.10.005,y,y,3,n,?,,,,"Scientific, Scientific, Scientific","Physics, Meteorology, Hydrology"
FGCS,2013,Deadline-constrained workflow scheduling algorithms for Infrastructure as a Service Clouds,10.1016/j.future.2012.05.004,y,y,5,y,120,1000,30,,"Scientific, Scientific, Scientific, Scientific, Scientific","physics, astronomy, geology, bioinformatics, bioinformatics"
FGCS,2013,"OpenMOLE, a workflow engine specifically tailored for the distributed exploration of simulation models",10.1016/j.future.2013.05.003,n,,,,,,,,,
FGCS,2013,Designing a parallel cloud based comparative genomics workflow to improve phylogenetic analyses,10.1016/j.future.2013.04.005,n,y,1,n,,1200,,run SciHmm scientific workflow in Cloud,Scientific,bioinformatics
FGCS,2013,Scheduling parameter sweep workflow in the Grid based on resource competition,10.1016/j.future.2013.01.005,n,n,3,n,,6,6,use simulations,"Syntethic, Syntethic, Syntethic","uncategorized, uncategorized, uncategorized"
FGCS,2013,Characterizing and profiling scientific workflows,10.1016/j.future.2012.08.015,n,y,6,n,18,815823,31,run wfs in Grid,scientific,"physics, astronomy, geology, bioinformatics"
FGCS,2014,Developing security-aware resource management strategies for workflows,10.1016/j.future.2013.09.030,y,n,1,n,1,?,?,No notes on the sizes or domains,industry,"business, commerce"
FGCS,2014,Multi-objective energy-efficient workflow scheduling using list-based heuristics,10.1016/j.future.2013.07.005,y,y,1,y,11,200,20,,multimedia,3d rendering
FGCS,2014,Special issue: Energy-efficiency in large distributed computing architectures,10.1016/j.future.2014.03.006,n,,,,,,,,,
FGCS,2014,Enabling scientific workflow sharing through coarse-grained interoperability,10.1016/j.future.2014.02.016,n,,,,,,,,,
FGCS,2014,Multi-objective scheduling of many tasks in cloud platforms,10.1016/j.future.2013.09.006,y,n,1,n,1,?,?,,scientific,physics
FGCS,2014,Informal learning recognition through a cloud ecosystem,10.1016/j.future.2013.08.004,n,,,,,,,,,
FGCS,2015,Taxonomies of workflow scheduling problem and techniques in the cloud,10.1016/j.future.2015.04.019,n,,,,,,,,,
FGCS,2015,"Pegasus, a workflow management system for science automation",10.1016/j.future.2014.10.008,n,,,,,,,"does mention the existance, but not use them per se in this work",,
FGCS,2015,Resource-aware hybrid scheduling algorithm in heterogeneous distributed computing,10.1016/j.future.2014.11.019,y,n,1,n,9,1000,10,,multimedia,"audio, video, documents, charts, contracts, plans"
FGCS,2015,Data-centric iteration in dynamic workflows,10.1016/j.future.2014.10.021,n,,,,,,,,,
FGCS,2015,Dynamic steering of HPC scientific workflows: A survey,10.1016/j.future.2014.11.017,n,,,,,,,,,
FGCS,2015,A resource-aware framework for resource-constrained service-oriented systems,10.1016/j.future.2014.09.010,n,,,,,,,,,
FGCS,2015,Enabling scalable scientific workflow management in the Cloud,10.1016/j.future.2014.10.023,n,,,,,,,,,
FGCS,2015,SLA enactment for large-scale healthcare workflows on multi-Cloud,10.1016/j.future.2014.07.005,y,y,1,n,260,997,997,,scientific,bioinformatics
FGCS,2015,Cloud-aware data intensive workflow scheduling on volunteer computing systems,10.1016/j.future.2014.11.007,y,n,1,n,14000,30,30,Bharathi generator,scientific,"astronomy, geology, bioinformatics, physics"
FGCS,2015,A note on new trends in data-aware scheduling and resource provisioning in modern HPC systems,10.1016/j.future.2015.04.016,n,,,,,,,,,
FGCS,2015,High frequency batch-oriented computations over large sliding time windows,10.1016/j.future.2014.09.008,n,,,,,,,,,
FGCS,2015,Using imbalance metrics to optimize task clustering in scientific workflow executions,10.1016/j.future.2014.09.014,y,y,5,n,5,8000,165,,scientific,"physics, astronomy, geology, bioinformatics, bioinformatics"
FGCS,2015,Cost-aware challenges for workflow scheduling approaches in cloud computing environments: Taxonomy and opportunities,10.1016/j.future.2015.01.007,n,,,,,,,,,
